Company Name,Company Street,Postal Code,City,C/O,Last Name,First Name,Linkedin Profile
ZH Beauty by Zemfira Hobi-Zeynalova,Ueberlandstrasse 222,8600,Dübendorf,,Hobi-Zeynalova,Zemfira,
Zimmerli Bauleitungen,Uster West 18,8610,Uster,,Zimmerli,Denise,
ZIVY,Zentralstrasse 123,8003,Zürich,c/o Nina Zivy,Zivy,Nina Julia,
"zuendschlosslinks, Inh. Barragan y Garcia",Buchserstrasse 10,8157,Dielsdorf,,Barragan y Garcia,Daniel,
1121 GmbH,Gurtenbrauerei 66,3084,Wabern,,Schläpfer,Bastian,
1121 GmbH,Gurtenbrauerei 66,3084,Wabern,,May,Toralf Axel,
11 Grad Marketing Knubel,Untere Emmengasse 10,4552,Derendingen,,Knubel,Philipp,
2 B Wild GmbH,Tramstrasse 105,8707,Uetikon am See,,Huber,Markus,
2 B Wild GmbH,Tramstrasse 105,8707,Uetikon am See,,Mazur,Kseniia,
359 Holding AG,Churerstrasse 158,8808,Pfäffikon SZ,,Vidal,Dominique,
4EMOTIONSENTERTAINMENT KLG,Steigstrasse 18,8307,Effretikon,c/o Robin Philip,Mannancherril,Soorej,
4EMOTIONSENTERTAINMENT KLG,Steigstrasse 18,8307,Effretikon,c/o Robin Philip,Mathews,Nithin,
4EMOTIONSENTERTAINMENT KLG,Steigstrasse 18,8307,Effretikon,c/o Robin Philip,Philip,Robin,
4EMOTIONSENTERTAINMENT KLG,Steigstrasse 18,8307,Effretikon,c/o Robin Philip,Thanthonnichira,Jojy,
4i Praxis AG,Engelstrasse 6,8004,Zürich,,Vogel-Schneider,Dr. med. Nicolas Iwan,
AAS Security GmbH,Dorfstrasse 14,3792,Saanen,,Brand,Martin,
AAS Security GmbH,Dorfstrasse 14,3792,Saanen,,Maurer,Roger,
AAS Security GmbH,Dorfstrasse 14,3792,Saanen,,KMU Revipartner AG (CHE-239.665.513),,
AAS Security GmbH,Dorfstrasse 14,3792,Saanen,,Freiburghaus,Marc,
AAS Security GmbH,Dorfstrasse 14,3792,Saanen,,Gräfe,Philip,
AAS Technik GmbH,Dorfstrasse 14,3792,Saanen,,Brand,Martin,
AAS Technik GmbH,Dorfstrasse 14,3792,Saanen,,Freiburghaus,Marc,
AAS Technik GmbH,Dorfstrasse 14,3792,Saanen,,KMU Revipartner AG (CHE-239.665.513),,
AAS Technik GmbH,Dorfstrasse 14,3792,Saanen,,Gräfe,Philip,
AAS Technik GmbH,Dorfstrasse 14,3792,Saanen,,Maurer,Roger,
A.Bottò Haulage & Trailerservice GmbH,KWC-Gasse 3,5726,Unterkulm,,Bottò,Andrea Michele,
Ächerli GmbH,Ächerli 2,6370,Stans,,Odermatt,Elias Jakob,
Activgastro Gonzalez Martinez,Salmenweg 1,8462,Rheinau,,Gonzalez Martinez,Edward,
Acupuncture Investments AG,Promenadengasse 8,8001,Zürich,,Lehmann,Philippe,
Ademi Auto Parts Pro,Lindenfeldring 8,6032,Emmen,,Ademi,Biontina,
AD Gips GmbH,Gruppinuweg 20,3911,Ried-Brig,c/o Antonio Sciallo und Daniela Antonietti,Sciallo,Antonio,
AD Gips GmbH,Gruppinuweg 20,3911,Ried-Brig,c/o Antonio Sciallo und Daniela Antonietti,Antonietti,Daniela,
ADI Autohandel GmbH,Solothurnstrasse 16,3422,Kirchberg BE,,Ramani,Fatmir,
ADI Autohandel GmbH,Solothurnstrasse 16,3422,Kirchberg BE,,Ramani,Admir,
Aelita Rozinkina FLame FLowers,Hausmattenstrasse 5,5735,Pfeffikon LU,,Rozinkina,Aelita,
Aeschipark Property Group AG,Harderstrasse 15,3800,Interlaken,,Hutter,Markus Johannes,
A. FAZLIU AUTOHANDEL MIT OCCASIONEN,Rudlenstrasse 10a,8376,Fischingen,,Fazliu,Alfred,
agora - Tasioulas,Hugelimattstrasse 8,3778,Schönried,c/o Michail Tasioulas,Tasioulas,Michail,
Agrovet Rediger GmbH,Schenkstrasse 5,3008,Bern,,Rediger,David,
Agrovet Rediger GmbH,Schenkstrasse 5,3008,Bern,,Rediger,Isabelle Christina,
AIPTO TechBio GmbH,Aeschengraben 29,4051,Basel,c/o OBC Suisse AG,Zhang,Xian,
AIPTO TechBio GmbH,Aeschengraben 29,4051,Basel,c/o OBC Suisse AG,Liu,Haikun,
AIPTO TechBio GmbH,Aeschengraben 29,4051,Basel,c/o OBC Suisse AG,Wu,Hui,
AIPTO TechBio GmbH,Aeschengraben 29,4051,Basel,c/o OBC Suisse AG,Deutsches Krebsforschungszentrum (RPK14-0561-6),,
ajmana GmbH,Schochenmühlestrasse 2,6340,Baar,,Ajruloski,Destan,
akademie entwicklung & entfaltung GmbH,Feldlistrasse 17,9000,St. Gallen,,Jud Eggenberger,Roger,
akademie entwicklung & entfaltung GmbH,Feldlistrasse 17,9000,St. Gallen,,Brecht,Michael,
akademie entwicklung & entfaltung GmbH,Feldlistrasse 17,9000,St. Gallen,,Arpagaus,Regula,
akademie entwicklung & entfaltung GmbH,Feldlistrasse 17,9000,St. Gallen,,Athanasiou,Karin,
akademie entwicklung & entfaltung GmbH,Feldlistrasse 17,9000,St. Gallen,,Widmer,Nelly,
akademie entwicklung & entfaltung GmbH,Feldlistrasse 17,9000,St. Gallen,,Ziörjen,Lars Kristian,
Akayra AG,Kohlgraben 3,6370,Stans,,Beer,Christoph,
A.Kukaj,St. Gallerstrasse 155,9200,Gossau SG,,Kukaj,Argjent,
ALAGAN AG,Zentralstrasse 44,6003,Luzern,c/o AREN FINANCE SARL,Sapherson,Ummahan Aysun,
Albrecht ASGS Dienstleistungen,Auf der Platte 4,8200,Schaffhausen,c/o Romeo Albrecht,Albrecht,Romeo Walter,
"Alchemie des Seins, Inh. Gräfe",Gantrischstrasse 42,3600,Thun,c/o Christoph Gräfe,Gräfe,Christoph Franz,
"Ali's Coiffeur, Ali",Ottenbacherstrasse 2a,8912,Obfelden,,Ali,Ahmad,
Allfinanz Consulting GmbH,Chaltenbodenstrasse 6e,8834,Schindellegi,,Marjanovic,Danijela,
Allfinanz Consulting GmbH,Chaltenbodenstrasse 6e,8834,Schindellegi,,Küenzi,Sven,
Allfinanz Consulting GmbH,Chaltenbodenstrasse 6e,8834,Schindellegi,,Lovrinovic,Srecko,
Alpenrose Gastro GmbH,Hauptstrasse 135,7075,Churwalden,,Martone,Giuseppe,
ALTAAN TALAL Automobile,Dorfstrasse 34a,5242,Lupfig,,Altaan,Talal,
Altabarth Holding AG,Neue Industriestrasse 10,4852,Rothrist,,Barth,Alexander,
Altabarth Holding AG,Neue Industriestrasse 10,4852,Rothrist,,Barth,Tano,
Altabarth Holding AG,Neue Industriestrasse 10,4852,Rothrist,,KPMG AG (CHE-229.062.543) [ CH-035.9.002.788-6],,
Altabarth Holding AG,Neue Industriestrasse 10,4852,Rothrist,,Mom,Christian,
Altabarth Holding AG,Neue Industriestrasse 10,4852,Rothrist,,Pfiel,Manuela,
amantia ag,Buechstrasse 11,8645,Jona,,Gjokaj,Kristijan,
amantia ag,Buechstrasse 11,8645,Jona,,Gjokaj,Patrik,
Amara Clothing GmbH,Gempenweg 4,4144,Arlesheim,,Mondadori,Giulia,
Amplified CH Schoteldraaijer,Heerenschürlistrasse 6,8051,Zürich,c/o Prya Sophie Schoteldraaijer,Schoteldraaijer,Prya Sophie,
Anastasios Anastasiou MIXANI ANALYTICS,Asylstrasse 64,8032,Zürich,,Anastasiou,Anastasios,
Andrea Beck Kinderanwältin,Kirchweg 1,8412,Hünikon (Neftenbach),,Beck,Andrea Monika,
Andreas Gerber GmbH,Alleestrasse 22,2503,Biel/Bienne,,Gerber,Andreas,
Andvaranaut Capital Investments AG,Jasminweg 3,3930,Visp,c/o David Riegger,Riegger,Dr. MBA David Martin,
anovis ag,Muotastrasse 71,6438,Ibach,,Markwalder,René,
Antal Marketing & Consulting,Säntisblickstrasse 4a,8580,Amriswil,,Antal,Angyalka,
Apexia GmbH,Riedstrasse 1,6343,Rotkreuz,,Milosavljevic,Nikola,
Apexia GmbH,Riedstrasse 1,6343,Rotkreuz,,Triscari,Davide,
Apexia GmbH,Riedstrasse 1,6343,Rotkreuz,,,,
Apex Legal GmbH,Seestrasse 185b,8800,Thalwil,,Näf,Moritz,
APGV Consulting GmbH,Seestrasse 105,8702,Zollikon,,Gaidai,Anastasiia,
APi Group Finco Switzerland GmbH,Bahnhofstrasse 3,8305,Dietlikon,c/o Chubb Sicli AG,Maurer,Moritz,
APi Group Finco Switzerland GmbH,Bahnhofstrasse 3,8305,Dietlikon,c/o Chubb Sicli AG,Lambert,James,
APi Group Finco Switzerland GmbH,Bahnhofstrasse 3,8305,Dietlikon,c/o Chubb Sicli AG,Hochstrasser,Thomas,
APi Group Finco Switzerland GmbH,Bahnhofstrasse 3,8305,Dietlikon,c/o Chubb Sicli AG,Hutter,Carl Elmar,
Aptiv Manufacturing Management Services GmbH,Spitalstrasse 5,8200,Schaffhausen,c/o Aptiv Technologies AG,Aptiv Financial Services (Luxembourg) Sarl (B183852),,
Aptiv Manufacturing Management Services GmbH,Spitalstrasse 5,8200,Schaffhausen,c/o Aptiv Technologies AG,Contu,Larisa-Elena,
Aptiv Manufacturing Management Services GmbH,Spitalstrasse 5,8200,Schaffhausen,c/o Aptiv Technologies AG,Muldowney,Eoin Paul,
Aptiv Manufacturing Management Services GmbH,Spitalstrasse 5,8200,Schaffhausen,c/o Aptiv Technologies AG,Ernst & Young AG (CHE-491.907.686),,
Aquates Ferit Ates,Leimgrubenweg 4,4053,Basel,,Ates,Ferit Emre,
Arbeitspsychologische Beratung Schulze GmbH,Sonnmattweg 1,4656,Starrkirch-Wil,,Schulze,Hartmut,
architectura sgier GmbH,Casti 43,7144,Vella,,Sgier,Thomy,
ariina circular ag,St. Alban-Anlage 46,4052,Basel,,Jaus,Mathieu,
ariina circular ag,St. Alban-Anlage 46,4052,Basel,,Grossen,Olivia Annick,
Arising Finance Solutions GmbH,Bellevueweg 9,8832,Wollerau,,Hanke,Nadine Sandy,
Arising Finance Solutions GmbH,Bellevueweg 9,8832,Wollerau,,Bürki,Roman,
Array Zero GmbH,Wiesenweg 13,4934,Madiswil,,Della Neve,Michele Maurizio,
Array Zero GmbH,Wiesenweg 13,4934,Madiswil,,Huber,Daniela,
Array Zero GmbH,Wiesenweg 13,4934,Madiswil,,Kilchenmann,Yves,
artas GmbH,Elsässerstrasse 215a,4056,Basel,,Sieber,Chantal Marlène,
artas GmbH,Elsässerstrasse 215a,4056,Basel,,Montalbo,Mark Kevin,
Arte de Piano Nailstylist MikÜic,St. Gallerstrasse 45,9200,Gossau SG,,MikŠ¡ic,Aleksandra,
Arthel Studio GmbH,Obere Aegerten 1,8143,Stallikon,,Helbling,Laura Julia,
AS Autoservice GmbH,Ostermundigenstrasse 95,3006,Bern,,Alarashi,Siamed,
Ascenda AG,Baarerstrasse 77,6300,Zug,"c/o Zedra Trust Company (Suisse) SA, Zweigniederlassung Zug",Mazon,Mira,
Ascenda AG,Baarerstrasse 77,6300,Zug,"c/o Zedra Trust Company (Suisse) SA, Zweigniederlassung Zug",Kouame,Marie Francine,
Ascenda AG,Baarerstrasse 77,6300,Zug,"c/o Zedra Trust Company (Suisse) SA, Zweigniederlassung Zug",Neumann,Vadim,
Ascenda AG,Baarerstrasse 77,6300,Zug,"c/o Zedra Trust Company (Suisse) SA, Zweigniederlassung Zug",Senhaji-Stoyanova,Teofana,
AsFarAs GmbH,Via Johannes Badrutt 16,7500,St. Moritz,c/o Rolf Sachs,Krawinkel,Lenard Fritz,
AsFarAs GmbH,Via Johannes Badrutt 16,7500,St. Moritz,c/o Rolf Sachs,Suter,Dario,
AsFarAs GmbH,Via Johannes Badrutt 16,7500,St. Moritz,c/o Rolf Sachs,Wiesmann Krawinkel,Claudia,
AS Garage Ipek,Bahnhofstrasse 48,9424,Rheineck,,Ipek,Abdül Samed,
A&S Immosolution GmbH,Ueberlandstrasse 154,8051,Zürich,,Da Silva Caravela Almeida,Telma Soraia,
Athletik Kickbox-Schule BL GmbH,Kägenstrasse 14,4153,Reinach BL,,Barthmann,Stephan,
Atlaslogie Bieri KLG,Bielstrasse 14,3250,Lyss,,Bieri,Elena,
Atlaslogie Bieri KLG,Bielstrasse 14,3250,Lyss,,Bieri,Monika,
Aurora International AG,Dorfplatz 7a,6370,Stans,,Mohrenschildt,Dr. Alexander Thomas,
"Ausflugsziel Steiniger Tisch, Inhaberin Daniela Brugger",Felsenstrasse 4,9422,Staad SG,,Brugger,Daniela Barbara,
"Ausflugsziel Steiniger Tisch, Inhaberin Daniela Brugger",Felsenstrasse 4,9422,Staad SG,,Stellmach,Maria Doris,
Austein AG,Hauptstrasse 19,5312,Döttingen,,Bürli,Andreas Armin,
Austein AG,Hauptstrasse 19,5312,Döttingen,,Bürli,Christian Bernhard,
Austein AG,Hauptstrasse 19,5312,Döttingen,,Bürli,Matthias Fritz,
Austein AG,Hauptstrasse 19,5312,Döttingen,,Bürli,Bernhard Karl,
Austein AG,Hauptstrasse 19,5312,Döttingen,,Bürli-Stauffer,Irene,
Autohandel Mheidli M.,Fabrikstrasse 1,8107,Buchs ZH,,Mheidli,Mohamad,
Auto Schötz GmbH,Schürmatt 3,6247,Schötz,,Aljassem,Abdullah,
Avalanche Assets Sàrl,Blattstrasse 5,8832,Wollerau,,Jokinen,Juha,
"A. VERES LINES, Inh. Veres",Schaffhauserstrasse 51,8302,Kloten,,Veres,Hunor,
Avilan Sport Foundation,Limmatquai 4,8001,Zürich,,Frey,Vanessa,
Avilan Sport Foundation,Limmatquai 4,8001,Zürich,,Frey,Bryan,
Avilan Sport Foundation,Limmatquai 4,8001,Zürich,,Wadsack Zug AG (CHE-109.364.928),,
AXA Hauptagentur Denis Markaj,Bellikerstrasse 1,8965,Berikon,,Markaj,Denis,
AXA Hauptagentur Lukas Studer,Bernstrasse 116,4852,Rothrist,,Studer,Lukas Beat,
Bächtiger GmbH,Lütschbachstrasse 1,8734,Ermenswil,,Schnyder-Bächtiger,Martina Franziska,
Bächtiger GmbH,Lütschbachstrasse 1,8734,Ermenswil,,Bächtiger,Matthias Roman,
Bad Augstholz AG,Oberebersol 63,6276,Hohenrain,,Lang,Benjamin,
Bad Boy Exotics Inh. dos Santos Jorge,Sägestrasse 3,8580,Amriswil,,,,
Bamforth Consulting,Pilatusstrasse 22,6072,Sachseln,,Bamforth,James,
BANGKOK NATION SPA BEAUTY SALON KLG,Stadthausstrasse 85,8400,Winterthur,,Bernhard,Thiwa,
BANGKOK NATION SPA BEAUTY SALON KLG,Stadthausstrasse 85,8400,Winterthur,,Vogt,Daophrasuk,
Bärner Hauswartungen GmbH,Grundweg 9,3053,Münchenbuchsee,,Djordjevic,Jakov,
Barty Concepts GmbH,Sierenzerstrasse 69,4055,Basel,,De Carvalho Lagreca,Victor,
Barty Concepts GmbH,Sierenzerstrasse 69,4055,Basel,,Lüthi,Reto Fortunat,
Barty Concepts GmbH,Sierenzerstrasse 69,4055,Basel,,Carvalho,Jessica,
bauadvice GmbH,Kirchgasse 5,2542,Pieterlen,,Scholl,Christoph Johannes,
BauBund AG,Dorfstrasse 18a,9306,Freidorf TG,,Heeb,Jörg,
BauBund AG,Dorfstrasse 18a,9306,Freidorf TG,,Bianchi,Claudio,
Bauer Immobilien,Stockerstrasse 43,8002,Zürich,,Bauer,Edgar,
BauMannschaft GmbH,Industrie Nord 11a,5643,Sins,,Baumann,Fabian,
Baumann Sportcars & Realestate GmbH,Bruggerstrasse 18,5103,Wildegg,,Baumann,Oliver,
Bavaria Fiction Switzerland GmbH,Gasometerstrasse 9,8005,Zürich,,Bavaria Fiction GmbH (HRB 141809),,
Bavaria Fiction Switzerland GmbH,Gasometerstrasse 9,8005,Zürich,,Ammon,Marcus,
Bavaria Fiction Switzerland GmbH,Gasometerstrasse 9,8005,Zürich,,Fistarol,Dominic,
Bavaria Fiction Switzerland GmbH,Gasometerstrasse 9,8005,Zürich,,Rödl & Partner AG (CHE-113.897.435),,
BCS Legal - powered by De Vries,Talackerstrasse 16,4538,Oberbipp,,De Vries,Wilhelmina E.M.,
Bear Bones Games KlG,Kräzernstrasse 114,9015,St. Gallen,c/o Marc Forrer,Forrer,Marc,
Bear Bones Games KlG,Kräzernstrasse 114,9015,St. Gallen,c/o Marc Forrer,Schwalb,Kiéran,
Beat Gitz Bauberatung GmbH,Langwiesstrasse 4,8942,Oberrieden,,Gitz,Beat Werner,
Beat Gitz Bauberatung GmbH,Langwiesstrasse 4,8942,Oberrieden,,Gitz,Pia Cécile,
Beatrice Minuth Consulting GmbH,Austrasse 95,4051,Basel,c/o Grether MacGeorge GmbH,Minuth,Beatrice,
Beatrice Minuth Consulting GmbH,Austrasse 95,4051,Basel,c/o Grether MacGeorge GmbH,Grether,Gabriele,
be empowered gmbh,Räbacher 15,6286,Altwis,,Elmiger,Beatrice,
be empowered gmbh,Räbacher 15,6286,Altwis,,Elmiger,Gregor,
beexgroup GmbH,Rümlangerstrasse 9,8105,Watt,,Mitkos,Georgios,
Belay Reinigung,Eggried 10,6319,Allenwinden,,Belay,Tedros,
Belay Reinigung,Eggried 10,6319,Allenwinden,,Fitwi,Rigat,
Bellazza GmbH,Ostring 8,8105,Regensdorf,,Hasani,Boletin,
Bellazza GmbH,Ostring 8,8105,Regensdorf,,Hasani-Rosen,Katja,
Benjamin Dütschler,Strittackerstrasse 7,8406,Winterthur,,Dütschler,Benjamin,
Beo Optik Holding AG,Bahnhofstrasse 29,3800,Interlaken,c/o Urfer Optik AG,Zwahlen,Adrian,
Beo Optik Holding AG,Bahnhofstrasse 29,3800,Interlaken,c/o Urfer Optik AG,Berthoud,Yannick,
Beo Optik Holding AG,Bahnhofstrasse 29,3800,Interlaken,c/o Urfer Optik AG,Bhend,Niklaus,
Beo Optik Holding AG,Bahnhofstrasse 29,3800,Interlaken,c/o Urfer Optik AG,Urfer,Peter Bruno,
Bernardo Bader Architekt ZT GmbH,Poststrasse 46,9478,Azmoos,,Bernardo Bader Architekt ZT GmbH (FN 452434 w),,
Bernardo Bader Architekt ZT GmbH,Poststrasse 46,9478,Azmoos,,Bader,Bernardo,
Bernardo Bader Architekt ZT GmbH,Poststrasse 46,9478,Azmoos,,Gauer,Matthias Christian,
"Bike Lounge by Reto Wiesmann, Inhaberin Cris Wiesmann",Wetti 17,8476,Unterstammheim,,Wiesmann,Anne-Cristelle,
bikexpert AG,Hellbühlerstrasse 32,6017,Ruswil,,Schwarzentruber,Raul,
bikexpert AG,Hellbühlerstrasse 32,6017,Ruswil,,Schwarzentruber,Chris,
bikexpert AG,Hellbühlerstrasse 32,6017,Ruswil,,Schwarzentruber,Rolf,
Bi-Na-Bi Sack Catering & Events,Regensbergstrasse 26,8113,Boppelsen,,Sack,Marie Madeleine,
BINOVA Ventures AG,Kreuzstrasse 15,8008,Zürich,,Knecht,Lucas Sebastian,
BINOVA Ventures AG,Kreuzstrasse 15,8008,Zürich,,Knecht,Claudius Nicolas,
Biss GmbH,Chrischonastrasse 51,4058,Basel,,Bissegger,Dominik,
BizStrategy GmbH,Sunnestrahl 7,8834,Schindellegi,,Merola,Sarah Bianca,
Blechschmidt Engineering,Hombergstrasse 5,4466,Ormalingen,,Blechschmidt,Peter Kay,
BLISTO Reinigung Benic,Birkenstrasse 4,9230,Flawil,,Benic,RuŠ¾ica,
BLT Group Thaler,Sagenstrasse 26,6030,Ebikon,,Thaler,Sebastian,
Blütengold GmbH,Altelsweg 9,3661,Uetendorf,,Portmann,Roman,
BNT Immo AG,Arviblick 4,6055,Alpnach Dorf,,Trittibach,Bruno,
Bolt Bier-Art GmbH,Baumstrasse 2,8344,Bäretswil,,Bolt,Danny,
Bolt Bier-Art GmbH,Baumstrasse 2,8344,Bäretswil,,Bolt-Iten,Karin,
Bostonhalle Wüthrich AG,Thunstrasse 50,3110,Münsingen,,Wüthrich,Thomas Konrad,
Bostonhalle Wüthrich AG,Thunstrasse 50,3110,Münsingen,,Wüthrich,Nick Samuel,
Bostonhalle Wüthrich AG,Thunstrasse 50,3110,Münsingen,,Wüthrich,Ben Simon,
Brandung GmbH,Friedhofstrasse 88,8048,Zürich,,Peter,Heinz,
Brandung GmbH,Friedhofstrasse 88,8048,Zürich,,Döbeli Peter,Marielle,
BreitLine Transport GmbH,Schleife 3,4616,Kappel SO,,Sivanathan,Prasanth,
Brennwall AG,Kantonsstrasse 407,3900,Gamsen,,In-Albon,Rolf Marco,
Brodax Catena Pozo,Hauptstrasse 52,6170,Schüpfheim,,Catena Pozo,Jonhatan,
Brukner Idealmarketing,Sagi 8,8833,Samstagern,,Brukner,Serge Jaron,
Bruno Gartenbau GmbH,Feldeggstrasse 2,8645,Jona,,Teixeira da Cunha,Bruno Miguel,
Bruno Gartenbau GmbH,Feldeggstrasse 2,8645,Jona,,Ferreira-Cancela,Vitor Manuel,
Bruno Wächter GmbH,Industriestrasse 3,5604,Hendschiken,,Hauki GmbH (CHE-149.299.697) [ CH-400.4.034.375-1],,
Bruno Wächter GmbH,Industriestrasse 3,5604,Hendschiken,,Wächter,Bruno,
Bruno Wächter GmbH,Industriestrasse 3,5604,Hendschiken,,Teinilä,Ursula,
"B. Rusiti Port GmbH, mit Sitz in Luzern",Seeburgstrasse 10,6006,Luzern,c/o Telan AG,Rusiti,Bujar,
"B. Rusiti Port GmbH, mit Sitz in Luzern",Seeburgstrasse 10,6006,Luzern,c/o Telan AG,Coop Pronto AG (CHE-108.095.223),,
"B. Rusiti Port GmbH, mit Sitz in Luzern",Seeburgstrasse 10,6006,Luzern,c/o Telan AG,Godel,Ludovick Emmanuel,
"B. Rusiti Port GmbH, mit Sitz in Luzern",Seeburgstrasse 10,6006,Luzern,c/o Telan AG,Gogniat,Michel Philippe Bernard,
B & S Services GmbH,Gellertpark 3,4052,Basel,,Bozurovic,Sabrina,
B & S Services GmbH,Gellertpark 3,4052,Basel,,Stahel,Philipp Theodor,
Bucher Thomas Wushu Kung Fu Schulen,Obergrütweg 25,5200,Brugg AG,,Bucher,Thomas,
buerobrutto GmbH,Nussbaumstrasse 19,8003,Zürich,,Bangerter,Helen Anett,
buerobrutto GmbH,Nussbaumstrasse 19,8003,Zürich,,Burger,Lukas Emanuel,
buerobrutto GmbH,Nussbaumstrasse 19,8003,Zürich,,Kleiber,Nicolaas Michiel,
buerobrutto GmbH,Nussbaumstrasse 19,8003,Zürich,,Morgenthaler,Stefan,
buerobrutto GmbH,Nussbaumstrasse 19,8003,Zürich,,Müller,Jonas Flavio,
buerobrutto GmbH,Nussbaumstrasse 19,8003,Zürich,,Sarra,Giacomo,
buerobrutto GmbH,Nussbaumstrasse 19,8003,Zürich,,Zahnd,Micha,
BueRomy-Streun GmbH,Rote Trotte 12,6340,Baar,,Brigger,Walter,
BueRomy-Streun GmbH,Rote Trotte 12,6340,Baar,,Streun,Sonja,
Bühler Maler GmbH,Rüefa 26,7015,Tamins,,Bühler,Armon,
Buob Handel und Bau,Hüttenmoos 1,9404,Rorschacherberg,,Buob,Florian,
BURGMEIJER RAI-Experte,Sunnmatt 1,8634,Hombrechtikon,,Burgmeijer,Marcus Georg Gertruda,
BürKEY AG,Robert-Durrer-Strasse 2,6370,Stans,,Bürki,Marco,
BürKEY AG,Robert-Durrer-Strasse 2,6370,Stans,,Simpson,Joshua Christopher,
"""Business Conect R"" Krastev",Agnesstrasse 55,8406,Winterthur,,Krastev,Vladimir Antonov,
Büyükgöl Elite Garage,Schachenweg 4,3250,Lyss,,Büyükgöl,Cebgiz,
ByCircle by Fehér,Zugerstrasse 10,8816,Hirzel,,Fehér,Roland,
Caflisch Stiftung,Stockerstrasse 54,8002,Zürich,c/o Lumen Capital (Schweiz) AG,Caflisch,Lucius,
Caflisch Stiftung,Stockerstrasse 54,8002,Zürich,c/o Lumen Capital (Schweiz) AG,Caflisch,Dee Ann,
Caflisch Stiftung,Stockerstrasse 54,8002,Zürich,c/o Lumen Capital (Schweiz) AG,Luder,Andreas,
Caflisch Stiftung,Stockerstrasse 54,8002,Zürich,c/o Lumen Capital (Schweiz) AG,Somary,Tobias,
Caflisch Stiftung,Stockerstrasse 54,8002,Zürich,c/o Lumen Capital (Schweiz) AG,Ernst & Young AG (CHE-491.907.686),,
Calmate KlG,Attenhoferstrasse 28,5430,Wettingen,,Keller,Richard,
Calmate KlG,Attenhoferstrasse 28,5430,Wettingen,,Panarese,Loris Elia,
Calmate KlG,Attenhoferstrasse 28,5430,Wettingen,,Vienne,Arnaud,
Caminada Tax AG Zug,Alpenstrasse 14,6300,Zug,,Okle,Andreas,
Caminada Tax AG Zug,Alpenstrasse 14,6300,Zug,,Iovoli,Fabio,
Caminada Tax AG Zug,Alpenstrasse 14,6300,Zug,,Heiri,Ramon,
Caminada Tax AG Zug,Alpenstrasse 14,6300,Zug,,Hänggi,Andreas,
Caminada Tax AG Zug,Alpenstrasse 14,6300,Zug,,Sulger Büel,John,
Caminada Tax AG Zug,Alpenstrasse 14,6300,Zug,,Litrag & Partner AG (CHE-116.315.390),,
Carat Fine Jewellery GmbH,Freie Strasse 105,4051,Basel,,Auf Abdul Rahim,Saif,
Cargopass GmbH,Lischmatt 9,4624,Härkingen,,Riedi,Urban,
Cargopass GmbH,Lischmatt 9,4624,Härkingen,,Wynistorf,Dominik Friedrich,
Cariati Real Estates GmbH,Rütistrasse 3a,5400,Baden,,Cariati,Ivon,
Cariati Real Estates GmbH,Rütistrasse 3a,5400,Baden,,Cariati,Mauro,
Carrosserie Bern Ost GmbH,Libellenweg 4a,3006,Bern,,Kandiah,Rathusan,
Car Shine Carpintero,Willikon 50,8618,Oetwil am See,,Carpintero,Rafael,
Casa Sole Immo GmbH,Rebgasse 53,4058,Basel,c/o Fatma Soley Kücük,Kücük,Fatma Soley,
"CeitilBARBER, Bragança Ceitil",Dorfstrasse 44,3906,Saas-Fee,,Bragança Ceitil,Ricardo Miguel,
Ceko Energie Consulting,Gislifluhstrasse 2,5032,Aarau Rohr,,Ceko,Martin,
cello-trading GmbH,Röven 60,7530,Zernez,,Gross,Marcel,
cello-trading GmbH,Röven 60,7530,Zernez,,Albert,Karin,
cengo ag,Obermühlestrasse 8,6330,Cham,,Cengic,Filip,
Check-in by Isabelle Eggmann,Poststrasse 1,8586,Kümmertshausen,,Eggmann,Isabelle,
Chi Chest GmbH,Regensbergstrasse 184,8050,Zürich,,Jahed,Mahdieh,
Chi Chest GmbH,Regensbergstrasse 184,8050,Zürich,,Jahani,Reza,
Chläberfee GmbH,Oberdorfweg 24,5610,Wohlen AG,c/o Tamara Häfliger,Häfliger,Tamara,
Christensen AG,Ulmenstrasse 4a,9200,Gossau SG,,Christensen,Leif,
Christensen AG,Ulmenstrasse 4a,9200,Gossau SG,,Christensen,Sandra,
Cima Immo AG,Kantonsstrasse 14,8807,Freienbach,,Tahiri,Arsim,
Ciurea - Gartengestaltung und allgemeine Sanierungsarbeiten,Zollhausstrasse 31a,8750,Glarus,,Ciurea,Catalin-Ciprian,
C J Holding Company AG,Bahnhofplatz,6300,Zug,c/o Haussmann Services AG,Haussmann,Lars,
C J Holding Company AG,Bahnhofplatz,6300,Zug,c/o Haussmann Services AG,Benn,Richard,
C J Holding Company AG,Bahnhofplatz,6300,Zug,c/o Haussmann Services AG,De Freitas Rodrigues Benn,Filomena,
C J Holding Company AG,Bahnhofplatz,6300,Zug,c/o Haussmann Services AG,Wyss,Rudolf,
Claudia Räber-Abegg Consulting GmbH,Aspgraben 15,4402,Frenkendorf,,Räber-Abegg,Claudia,
Claudia Räber-Abegg Consulting GmbH,Aspgraben 15,4402,Frenkendorf,,Abegg,Daniel Robert,
Claudiu Voinea Entrümpelung,Rainackerstrasse 42,4625,Oberbuchsiten,,Voinea,Claudiu-Danut,
